   0.16143396e+01     0.10300852e+01
   0.16143755e+01     0.10300872e+01
   0.16144113e+01     0.10300891e+01
   0.16144472e+01     0.10300911e+01
   0.16144830e+01     0.10300931e+01
   0.16145189e+01     0.10300950e+01
   0.16145547e+01     0.10300970e+01
   0.16145906e+01     0.10300989e+01
   0.16146264e+01     0.10301009e+01
   0.16146623e+01     0.10301028e+01
   0.16146981e+01     0.10301048e+01
   0.16147340e+01     0.10301067e+01
   0.16147698e+01     0.10301086e+01
   0.16148057e+01     0.10301106e+01
   0.16148415e+01     0.10301125e+01
   0.16148774e+01     0.10301145e+01
   0.16149132e+01     0.10301164e+01
   0.16149491e+01     0.10301183e+01
   0.16149849e+01     0.10301203e+01
   0.16150208e+01     0.10301222e+01
   0.16150566e+01     0.10301241e+01
   0.16150925e+01     0.10301261e+01
   0.16151283e+01     0.10301280e+01
   0.16151642e+01     0.10301299e+01
   0.16152000e+01     0.10301319e+01
   0.16152359e+01     0.10301338e+01
   0.16152717e+01     0.10301357e+01
   0.16153076e+01     0.10301376e+01
   0.16153434e+01     0.10301395e+01
   0.16153793e+01     0.10301415e+01
   0.16154151e+01     0.10301434e+01
   0.16154510e+01     0.10301453e+01
   0.16154868e+01     0.10301472e+01
   0.16155227e+01     0.10301491e+01
   0.16155585e+01     0.10301510e+01
   0.16155944e+01     0.10301529e+01
   0.16156302e+01     0.10301549e+01
   0.16156661e+01     0.10301568e+01
   0.16157019e+01     0.10301587e+01
   0.16157378e+01     0.10301606e+01
   0.16157736e+01     0.10301625e+01
   0.16158095e+01     0.10301644e+01
   0.16158453e+01     0.10301663e+01
   0.16158812e+01     0.10301682e+01
   0.16159170e+01     0.10301701e+01
   0.16159529e+01     0.10301720e+01
   0.16159887e+01     0.10301739e+01
   0.16160246e+01     0.10301758e+01
   0.16160604e+01     0.10301777e+01
   0.16160963e+01     0.10301795e+01
   0.16161321e+01     0.10301814e+01
   0.16161679e+01     0.10301833e+01
   0.16162038e+01     0.10301852e+01
   0.16162396e+01     0.10301871e+01
   0.16162755e+01     0.10301890e+01
   0.16163113e+01     0.10301909e+01
   0.16163472e+01     0.10301927e+01
   0.16163830e+01     0.10301946e+01
   0.16164189e+01     0.10301965e+01
   0.16164547e+01     0.10301984e+01
   0.16164906e+01     0.10302002e+01
   0.16165264e+01     0.10302021e+01
   0.16165623e+01     0.10302040e+01
   0.16165981e+01     0.10302059e+01
   0.16166340e+01     0.10302077e+01
   0.16166698e+01     0.10302096e+01
   0.16167057e+01     0.10302115e+01
   0.16167415e+01     0.10302133e+01
   0.16167774e+01     0.10302152e+01
   0.16168132e+01     0.10302171e+01
   0.16168491e+01     0.10302189e+01
   0.16168849e+01     0.10302208e+01
   0.16169208e+01     0.10302226e+01
   0.16169566e+01     0.10302245e+01
   0.16169925e+01     0.10302263e+01
   0.16170283e+01     0.10302282e+01
   0.16170642e+01     0.10302301e+01
   0.16171000e+01     0.10302319e+01
   0.16171359e+01     0.10302338e+01
   0.16171717e+01     0.10302356e+01
   0.16172076e+01     0.10302375e+01
   0.16172434e+01     0.10302393e+01
   0.16172793e+01     0.10302411e+01
   0.16173151e+01     0.10302430e+01
   0.16173510e+01     0.10302448e+01
   0.16173868e+01     0.10302467e+01
   0.16174227e+01     0.10302485e+01
   0.16174585e+01     0.10302503e+01
   0.16174944e+01     0.10302522e+01
   0.16175302e+01     0.10302540e+01
   0.16175661e+01     0.10302559e+01
   0.16176019e+01     0.10302577e+01
   0.16176378e+01     0.10302595e+01
   0.16176736e+01     0.10302613e+01
   0.16177095e+01     0.10302632e+01
   0.16177453e+01     0.10302650e+01
   0.16177812e+01     0.10302668e+01
   0.16178170e+01     0.10302687e+01
   0.16178529e+01     0.10302705e+01
   0.16178887e+01     0.10302723e+01
   0.16179246e+01     0.10302741e+01
   0.16179604e+01     0.10302759e+01
   0.16179963e+01     0.10302778e+01
   0.16180321e+01     0.10302796e+01
   0.16180679e+01     0.10302814e+01
   0.16181038e+01     0.10302832e+01
   0.16181396e+01     0.10302850e+01
   0.16181755e+01     0.10302868e+01
   0.16182113e+01     0.10302886e+01
   0.16182472e+01     0.10302904e+01
   0.16182830e+01     0.10302923e+01
   0.16183189e+01     0.10302941e+01
   0.16183547e+01     0.10302959e+01
   0.16183906e+01     0.10302977e+01
   0.16184264e+01     0.10302995e+01
   0.16184623e+01     0.10303013e+01
   0.16184981e+01     0.10303031e+01
   0.16185340e+01     0.10303049e+01
   0.16185698e+01     0.10303067e+01
   0.16186057e+01     0.10303085e+01
   0.16186415e+01     0.10303103e+01
   0.16186774e+01     0.10303120e+01
   0.16187132e+01     0.10303138e+01
   0.16187491e+01     0.10303156e+01
   0.16187849e+01     0.10303174e+01
   0.16188208e+01     0.10303192e+01
   0.16188566e+01     0.10303210e+01
   0.16188925e+01     0.10303228e+01
   0.16189283e+01     0.10303246e+01
   0.16189642e+01     0.10303263e+01
   0.16190000e+01     0.10303281e+01
   0.16190359e+01     0.10303299e+01
   0.16190717e+01     0.10303317e+01
   0.16191076e+01     0.10303335e+01
   0.16191434e+01     0.10303352e+01
   0.16191793e+01     0.10303370e+01
   0.16192151e+01     0.10303388e+01
   0.16192510e+01     0.10303406e+01
   0.16192868e+01     0.10303423e+01
   0.16193227e+01     0.10303441e+01
   0.16193585e+01     0.10303459e+01
   0.16193944e+01     0.10303476e+01
   0.16194302e+01     0.10303494e+01
   0.16194661e+01     0.10303512e+01
   0.16195019e+01     0.10303529e+01
   0.16195378e+01     0.10303547e+01
   0.16195736e+01     0.10303565e+01
   0.16196095e+01     0.10303582e+01
   0.16196453e+01     0.10303600e+01
   0.16196812e+01     0.10303617e+01
   0.16197170e+01     0.10303635e+01
   0.16197529e+01     0.10303652e+01
   0.16197887e+01     0.10303670e+01
   0.16198246e+01     0.10303687e+01
   0.16198604e+01     0.10303705e+01
   0.16198963e+01     0.10303723e+01
   0.16199321e+01     0.10303740e+01
   0.16199679e+01     0.10303757e+01
   0.16200038e+01     0.10303775e+01
   0.16200396e+01     0.10303792e+01
   0.16200755e+01     0.10303810e+01
   0.16201113e+01     0.10303827e+01
   0.16201472e+01     0.10303845e+01
   0.16201830e+01     0.10303862e+01
   0.16202189e+01     0.10303879e+01
   0.16202547e+01     0.10303897e+01
   0.16202906e+01     0.10303914e+01
   0.16203264e+01     0.10303932e+01
   0.16203623e+01     0.10303949e+01
   0.16203981e+01     0.10303966e+01
   0.16204340e+01     0.10303984e+01
   0.16204698e+01     0.10304001e+01
   0.16205057e+01     0.10304018e+01
